Title,Author(s),Publisher,Year,Language,File Type,Rating
Computer science,Гвоздева Е.А.,nan,2022,Russian,PDF,5.0
Computer Science,"Brookshear, Glenn;Brylow, Dennis",Pearson Education Limited,2014,English,PDF,4.0
Computer science - an overview,J. Glenn Brookshear,Addison Wesley,2006,English,DJVU,4.0
Computer science - an overview,J. Glenn Brookshear,Addison Wesley,2006,English,DJVU,4.0
Computer Science - An Overview,Glenn Brookshear; Dennis Brylow,Pearson Education Limited,2015,English,PDF,4.0
"Computer Science - Theory and Applications: 9th International Computer Science Symposium in Russia, CSR 2014, Moscow, Russia, June 7-11, 2014. Proceedings","Edward A. Hirsch, Sergei O. Kuznetsov, Jean-Éric Pin, Nikolay K. Vereshchagin (eds.)",Springer International Publishing,2014,English,PDF,4.0
"Computer Science - Theory and Applications: Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009. Proceedings","Pedro Cabalar, Sergei Odintsov, David Pearce (auth.), Anna Frid, Andrey Morozov, Andrey Rybalchenko, Klaus W. Wagner (eds.)",Springer-Verlag Berlin Heidelberg,2009,English,PDF,4.0
"Computer Science - Theory and Applications: Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009. Proceedings","Pedro Cabalar, Sergei Odintsov, David Pearce (auth.), Anna Frid, Andrey Morozov, Andrey Rybalchenko, Klaus W. Wagner (eds.)",Springer-Verlag Berlin Heidelberg,2009,English,PDF,5.0
"Computer Science - Theory and Applications: Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009. Proceedings","Pedro Cabalar, Sergei Odintsov, David Pearce (auth.), Anna Frid, Andrey Morozov, Andrey Rybalchenko, Klaus W. Wagner (eds.)",Springer-Verlag Berlin Heidelberg,2009,English,PDF,5.0
"Computer Science -- Theory and Applications: 10th International Computer Science Symposium in Russia, CSR 2015, Listvyanka, Russia, July 13-17, 2015, Proceedings","Lev D. Beklemishev, Daniil V. Musatov (eds.)",Springer International Publishing,2015,English,PDF,5.0
Computer science,Гвоздева Е.А.,nan,2022,Russian,PDF,5.0
Computer Science,"Brookshear, Glenn;Brylow, Dennis",Pearson Education Limited,2014,English,PDF,4.0
Computer science - an overview,J. Glenn Brookshear,Addison Wesley,2006,English,DJVU,4.0
Computer science - an overview,J. Glenn Brookshear,Addison Wesley,2006,English,DJVU,4.0
Computer Science - An Overview,Glenn Brookshear; Dennis Brylow,Pearson Education Limited,2015,English,PDF,4.0
"Computer Science - Theory and Applications: 9th International Computer Science Symposium in Russia, CSR 2014, Moscow, Russia, June 7-11, 2014. Proceedings","Edward A. Hirsch, Sergei O. Kuznetsov, Jean-Éric Pin, Nikolay K. Vereshchagin (eds.)",Springer International Publishing,2014,English,PDF,4.0
"Computer Science - Theory and Applications: Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009. Proceedings","Pedro Cabalar, Sergei Odintsov, David Pearce (auth.), Anna Frid, Andrey Morozov, Andrey Rybalchenko, Klaus W. Wagner (eds.)",Springer-Verlag Berlin Heidelberg,2009,English,PDF,4.0
"Computer Science - Theory and Applications: Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009. Proceedings","Pedro Cabalar, Sergei Odintsov, David Pearce (auth.), Anna Frid, Andrey Morozov, Andrey Rybalchenko, Klaus W. Wagner (eds.)",Springer-Verlag Berlin Heidelberg,2009,English,PDF,5.0
"Computer Science - Theory and Applications: Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009. Proceedings","Pedro Cabalar, Sergei Odintsov, David Pearce (auth.), Anna Frid, Andrey Morozov, Andrey Rybalchenko, Klaus W. Wagner (eds.)",Springer-Verlag Berlin Heidelberg,2009,English,PDF,5.0
"Computer Science -- Theory and Applications: 10th International Computer Science Symposium in Russia, CSR 2015, Listvyanka, Russia, July 13-17, 2015, Proceedings","Lev D. Beklemishev, Daniil V. Musatov (eds.)",Springer International Publishing,2015,English,PDF,5.0
